FID,IID,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16,PC17,PC18,PC19,PC20,PC21,PC22,PC23,PC24,PC25,PC26,PC27,PC28,PC29,PC30,PC31,PC32,PC33,PC34,PC35,PC36,PC37,PC38,PC39,PC40,PC41,PC42,PC43,PC44,PC45,PC46,PC47,PC48,PC49,PC50,label
AJ,AP7D9,-29.986258166843186,-34.87221982852543,-11.981234904318782,-21.06715358204683,-28.726555533170654,2.959471903353501,-15.359596539174193,2.151385190024929,-0.8643250962130944,4.633896504929875,2.3459954440439605,-4.874446656559003,1.0703556377271175,0.5063179882114506,7.778835867409666,1.0316647719396408,0.17543365952659964,6.654148458217314,-3.6901229886141302,-1.43196775377906,-5.298896547310273,0.6542604927702255,-5.86248196044381,-7.955804910361533,1.9588034071736988,-1.8434259101721733,-7.765591752816024,-0.6204065341770233,-9.507247124884104,-0.32764100562389054,-1.6521953625323995,-1.6229923682368856,-3.552107985765137,-2.877882465244955,-4.747433871110069,-0.7999827500108284,-4.105619620249288,7.642726263074203,-0.29536830610002596,1.4883135937959573,-6.158320523207044,-1.667560301124095,-2.2940127956478973,-4.371455948811541,-1.0965050047026526,2.1570577578754104,-5.037974005358871,4.870748789631731,-2.393652053109049,5.237250757219039,AJ
HG02558,HG02558,73.47450741018825,-13.335624324690377,-2.124828375040712,-1.8631992420814785,-1.4733486234288258,-0.5498594958748614,-3.885300102532613,-3.7831549971448544,2.8961649336704216,-7.225632640451046,-1.94222547144826,0.7070136222992212,0.9050269906381774,-0.6868167297815343,-5.348071884786641,0.3825087902472334,-12.557071035003673,-6.8417890219466555,3.19467391283817,6.211513481699703,-1.0299778006742093,0.9100243971033496,-5.559839374533154,13.689035840829082,4.4514659110365535,-4.6825499271747955,5.7222409967910295,-0.39089936709090234,5.105965175277127,-1.9052679224853333,-1.4596070971810464,0.646170465481898,3.5168232824689114,2.375034100617533,-3.5662444635618216,2.7801514732188433,3.674507476913467,-3.6349918539819073,-1.6862272530313491,-2.487323923918982,-8.002321237226726,3.2910963094377395,-2.0194220057215313,-4.083255997351336,4.445188489847854,1.0541061988821336,4.9792670781668145,-0.7365543120027382,-6.438128098184418,4.242497461935829,AFR
HG00476,HG00476,-13.139587521918626,86.03028727967332,-9.539411157504642,-25.871761026181606,0.47970747524926705,1.472539440506581,1.2454560232529157,0.7677067874915491,2.766577655180483,-0.1695478719823126,-0.23184225717287216,2.5174946889169987,-1.348192879531937,-2.3935716694445044,-2.1294059182827696,6.250564051512904,-5.700135713573466,-7.8196858470171895,1.5587788725980338,5.136051437826409,-2.353560242879821,1.0368751600161679,6.797361500158087,-3.1825765532896586,-7.041439340592871,-6.828951494009472,-6.112701031716358,11.314775275072199,0.08546241216268521,1.7334015393293223,4.139947974487921,0.4458457604935205,2.6637726674806683,-1.5925213635774114,6.980836114139561,4.851421323029622,-1.4130565627250553,-6.141854532686153,-0.03754833407882546,-3.078111799575399,-1.9738963448404763,1.7625560503217634,-4.913395382667979,2.010788391150953,3.3378090481185008,-0.2363787473403647,1.1548771423696518,1.5281234968042874,-2.0521883509862318,-5.996926485495616,EAS
HG02299,HG02299,-21.838868592270586,42.0629678100278,-61.064959046983766,101.58384524333468,-12.614697063727526,-1.9669386027134241,-7.9658299682090075,-1.2443498611974357,9.748382257323973,5.018468044024616,-3.98765742069819,3.098853879359018,-10.302090067211488,1.0934524362888272,-18.211713099531124,-3.09201329374531,4.36847501642552,-19.851495418114574,1.6805505029237016,-4.841182154592201,-2.2739972801164354,5.378898770221485,2.1247290432159933,15.416052795352945,4.704079065469655,-8.98744005421438,14.2778870290476,4.549371994222725,-3.182318027414136,-14.145518700912564,3.870281656192554,4.848686223288532,8.528667990665253,-9.983919973924243,4.082519984804864,14.224456950015632,-1.5922244171913702,2.495571057788395,-8.502561438221333,15.084326559727158,-1.4713311501378434,0.22533409213357627,9.251234466590782,1.0566024608927758,-9.854802884092155,12.363458145737297,-3.3750056439398537,0.8554926027644801,14.744869106035102,-2.911080473468099,AMR
HG01671,HG01671,-31.882706616635474,-38.97661451563149,-10.161275130440593,-13.192801932377177,12.570262856309148,-3.7804128195618985,16.097907892609786,4.228467977297795,-12.912178643325431,-4.301646386772348,12.0854004492069,8.577339211198861,-16.64319252570873,8.333698343054353,-4.467816887160033,-2.6287735108991765,0.6341159049095118,15.326224274582017,8.386552177509197,12.47960265884867,-0.39605206572191637,17.868828424919577,14.269515341697899,-20.70145927987133,29.82289565882024,-15.044736810938339,-4.433858884903335,15.045582654660269,-16.869583130214984,-9.928787856305908,10.115075537278486,-0.18076457255355782,-14.513812816780822,15.677315226833958,1.4942190859976259,-12.788676480404181,6.037362656706708,33.271984186289735,1.6837228597961762,-6.015437278710703,-16.33437966923669,-9.149740877704941,15.489120148317022,-7.335055460955873,8.837132909647666,-40.20878868724415,-1.559192822071915,8.103633911207812,-22.429754970680918,13.697663835736346,EUR
HG02008,HG02008,-21.232661350280978,39.51098918932217,-59.283587108425216,98.38573174127085,-11.600238432794375,-2.456347948291177,-9.010090633088813,-5.400165378922365,0.902565675448173,-2.3293523972256915,-4.877619176294056,3.731847270048353,2.149171689405459,-2.963110478053371,-4.754240481294078,-0.9722695600266391,-2.2667014337304034,-8.407486827338795,1.8733380893972662,7.174975698283923,6.213351781772241,-3.852506577802106,-2.6632072352583087,2.022569892810086,-3.80081727243046,1.0051038023874126,3.7703997144280175,-2.4438964688431257,-2.1333961673745843,-1.089123711088699,-1.833313199569022,4.058102619038291,-3.750956338294805,-6.164004137632243,4.243550828065263,-5.528427345229248,5.7130464144156035,18.636812058031122,-0.624491314910887,-7.967954583251194,8.884419172973702,-4.874389078271228,6.217676763427911,1.314791627102532,-2.181103119037913,4.602117469122128,-3.333702018524505,-5.512831968374324,2.500844889048443,-5.558765633873975,AMR
HG02953,HG02953,85.04000420292796,-7.501164655965272,-1.3825602277781595,1.891325518820243,-1.5965229475122853,-0.40378910020581066,0.18252602013303096,-18.58535790308397,-6.297658157288251,-16.114465979450145,-2.138556648305912,3.985999076046901,4.43520161903459,-2.2170472446854577,0.4704240114678586,-0.8666451599155861,3.9124748207975304,2.824334574274275,-0.08704442937445969,-8.503004186736154,-3.231575420332325,-7.292648956696768,5.650030091667269,-2.45430468697942,6.38362709338024,-10.722550524812481,11.284947214164765,3.5719426145107454,0.41388293629101147,1.120769165419397,7.561965017989743,14.000851829992179,2.3123516613408097,2.2540573278840346,-2.176492834006966,-7.852472874026676,12.765845039587331,-7.287936660557487,-0.6177289950642068,-7.887409705010931,6.842757488105771,5.700828333976889,-5.00309029548682,1.9142698160751335,-5.024077346587288,3.0431826421539925,3.0205697329473455,2.9194849450058586,8.840450394961431,-10.771021464332424,AFR
NA12818,NA12818,-31.661550557835874,-36.06965159025779,-13.215949911709561,-6.588088089141921,23.962972372100932,1.7420026707731664,-3.924537626567698,-1.6988599597246758,-1.0837752643665441,6.386592509350237,-2.8048344454551213,-3.0152436893783268,-5.086090579123073,0.4756793641859422,1.242947196228357,2.95105012207285,-18.02589930811848,1.0622799469388242,5.250528271284832,-2.8146388136428384,8.538246248731712,-4.361727778902988,4.552952604375705,1.049342798053652,-0.24824079646933353,4.715972921145969,-5.429289120263727,-4.051245563040374,-7.657569089877432,-8.518078290196248,0.4566380127358266,-8.036426688590568,5.34619707084285,1.2860278554860964,-6.876354623771987,9.58542004677011,5.012374524718295,-7.957375175357562,-1.6410132079635915,3.348552122235056,4.042337651969861,8.676279743817869,-5.020667544405626,-7.809629571083961,-13.79239794143311,3.8999826886848368,-3.683904170060606,-5.959305435078057,-6.232769412187156,1.4584158436144534,EUR
AJ,AP4A12,-30.345429363941356,-39.66613491948617,-7.098308113598572,-19.978747852358367,-24.987213230966162,2.5749917245576657,-14.245766649788406,-0.1933041393396837,5.390201800718599,0.8259547719088124,6.1074320718354125,-5.828216966330584,3.203008710893949,-2.47464586030534,-4.401480265873389,-6.736982614596891,-8.569553914648434,-9.474821001514245,-1.987502096751012,8.461690698896932,1.1106989396787885,4.8001642603784065,-3.415030364273662,1.8043792832317465,-3.578554712299705,-4.338633121164183,2.031974873552137,-1.6537396948657532,-2.276174090711976,0.7920890852645185,7.214159521611364,-4.202009139695382,5.089430718198682,-0.6523036322285469,-3.075188733852926,5.136537643572922,0.152832883272055,-1.709907010231076,-1.9017893853240115,-2.705396828942581,-3.001469040390766,0.05866974651176218,-0.4191375325509768,10.08274595281251,1.8988966556786335,2.4958075946129465,0.8643179329796553,-7.140752992324185,3.561533326940801,-5.988246525529645,AJ
AJ,MU1_AP3G2,-30.213777817667314,-39.00062069849211,-7.784085072630628,-20.29756568044329,-22.858456386976695,1.0761255376607692,-13.530853228776012,-3.0241505610502726,1.1421904023402305,-2.3307411045986015,-4.0694203709527965,2.617231506378224,-5.425273999465248,-1.595998182220533,1.0547175881817827,0.44836104994910736,5.019988428018723,-0.8344557771717872,-1.7240092519583439,0.2944551027982071,-3.833572592971677,-1.4636096968933032,-5.365984790120259,2.605047426164775,-3.870673388089214,6.200738598135303,-7.698575226295066,-0.16434992412544913,-1.6510198591040595,-5.262945377150809,-2.3332484212086766,4.627641923766033,-4.243008820021388,-5.1339137065004685,-0.8006901636784799,-0.3106856473250525,0.8868978834123894,-1.7291213847227185,-5.585727141382535,11.336891416896485,-0.4209486441615847,5.804522787279956,-1.4717163819113857,-0.3860762648123784,0.6834332988877733,-6.908200710772144,5.836889931713633,-5.329463819976176,0.7194866739049176,-1.2740377145629358,AJ
